Date,Subject,Summary,To,From,Predicted Importance
2024-02-10,Project Update,Providing an update on the latest project developments,Project Team,John,High
2024-02-20,Meeting Invitation,Invitation for a team meeting to discuss upcoming milestones and deadlines,Project Team,Emily,Medium
2024-02-15,Training Opportunity,Announcement about an upcoming training session on new software tools,All Employees,HR Department,Low
2024-02-05,Performance Review,Notification about the upcoming performance review meeting,John,Manager,High
2024-02-18,Team Recognition,Acknowledgment for outstanding contribution to the recent project success,John,Team,High
2024-02-20,Travel Approval,Approval for business travel to attend a client meeting,John,Supervisor,Medium
2024-02-12,Task Assignment,Assignment of a new task with detailed instructions and expectations,John,Project Manager,High
2024-02-02,Policy Update,Notification about updates to the company's remote work policy,All Employees,HR Department,Medium
2024-02-10,Work Anniversary,Celebrating the employee's one-year work anniversary,All Employees,Supervisor,Low
2024-02-15,Employee Survey,Encouragement to participate in an employee satisfaction survey,All Employees,HR Department,Low
